directory,file_name,variable_name,variable_type,nobs,description
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,fid,integer,5653,"unique identifier"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,date,double,5653,"start date"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,time,character,5653,"start time"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,date_1,double,5653,"end date"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,time_1,character,5653,"end time"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,latitude,double,5653,"latitude"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,n_s,character,5653,"unknown"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,longitude,double,5653,"longitude"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,e_w,character,5653,"unknown"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,height,double,5653,"height"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,numberplat,character,5653,"unknown"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,volume,double,5653,"volume"
/Users/mbannert/repositories/openwashdata/faecalsludgekampala/data,faecalsludge.rda,plant,character,5653,"plant"
